majorTitle,catalogYear,courseCode,prefix,courseTypeId
Computer Engineering (B.S),2017-2018,2501,CSCE,2
Computer Engineering (B.S),2017-2018,3201,CSCE,2
Computer Engineering (B.S),2017-2018,3301,CSCE,2
Computer Engineering (B.S),2017-2018,3303,CSCE,2
Computer Engineering (B.S),2017-2018,3304,CSCE,2
Computer Engineering (B.S),2017-2018,3302,CSCE,2
Computer Engineering (B.S),2017-2018,3701,CSCE,2
Computer Engineering (B.S),2017-2018,3401,CSCE,2
Computer Engineering (B.S),2017-2018,3611,CSCE,2
Computer Engineering (B.S),2017-2018,4301,CSCE,2
Computer Engineering (B.S),2017-2018,4311,CSCE,2
Computer Engineering (B.S),2017-2018,4302,CSCE,2
Computer Engineering (B.S),2017-2018,4312,CSCE,2
Computer Engineering (B.S),2017-2018,4411,CSCE,2
Computer Engineering (B.S),2017-2018,4950,CSCE,2
Computer Engineering (B.S),2017-2018,4980,CSCE,2
Computer Engineering (B.S),2017-2018,4981,CSCE,2
Computer Engineering (B.S),2017-2018,3201,MGMT,2
Computer Engineering (B.S),2017-2018,3101,CSCE,3
Computer Engineering (B.S),2017-2018,3102,CSCE,3
Computer Engineering (B.S),2017-2018,3103,CSCE,3
Computer Engineering (B.S),2017-2018,3104,CSCE,3
Computer Engineering (B.S),2017-2018,3311,CSCE,3
Computer Engineering (B.S),2017-2018,4201,CSCE,3
Computer Engineering (B.S),2017-2018,4602,CSCE,3
Computer Engineering (B.S),2017-2018,4314,CSCE,3
Computer Engineering (B.S),2017-2018,4313,CSCE,3
Computer Engineering (B.S),2017-2018,4701,CSCE,3
Computer Engineering (B.S),2017-2018,4421,CSCE,3
Computer Engineering (B.S),2017-2018,4101,CSCE,3
Computer Engineering (B.S),2017-2018,4501,CSCE,3
Computer Engineering (B.S),2017-2018,4621,CSCE,3
Computer Engineering (B.S),2017-2018,4502,CSCE,3
Computer Engineering (B.S),2017-2018,4603,CSCE,3
Computer Engineering (B.S),2017-2018,4601,CSCE,3
Computer Engineering (B.S),2017-2018,4702,CSCE,3
Computer Engineering (B.S),2017-2018,4930,CSCE,3
Computer Engineering (B.S),2017-2018,4910,CSCE,3
Computer Engineering (B.S),2017-2018,4103,ECNG,3
Computer Engineering (B.S),2017-2018,4930,ECNG,3
Computer Engineering (B.S),2017-2018,1005,CHEM,5
Computer Engineering (B.S),2017-2018,1015,CHEM,5
Computer Engineering (B.S),2017-2018,1001,ENGR,5
Computer Engineering (B.S),2017-2018,1005,ENGR,5
Computer Engineering (B.S),2017-2018,2102,ENGR,5
Computer Engineering (B.S),2017-2018,2104,ENGR,5
Computer Engineering (B.S),2017-2018,3202,ENGR,5
Computer Engineering (B.S),2017-2018,3222,ENGR,5
Computer Engineering (B.S),2017-2018,3322,ENGR,5
Computer Engineering (B.S),2017-2018,1121,MACT,5
Computer Engineering (B.S),2017-2018,1122,MACT,5
Computer Engineering (B.S),2017-2018,2131,MACT,5
Computer Engineering (B.S),2017-2018,2123,MACT,5
Computer Engineering (B.S),2017-2018,2141,MACT,5
Computer Engineering (B.S),2017-2018,2132,MACT,5
Computer Engineering (B.S),2017-2018,3224,MACT,5
Computer Engineering (B.S),2017-2018,1011,PHYS,5
Computer Engineering (B.S),2017-2018,1021,PHYS,5
Computer Engineering (B.S),2017-2018,1012,PHYS,5
Computer Engineering (B.S),2017-2018,1022,PHYS,5
Computer Engineering (B.S),2017-2018,2211,PHYS,5
Computer Engineering (B.S),2017-2018,2213,PHYS,5
